Description                                       ProcessId  
firefox.exe                                       5312       

firefox.exe                                       11364      

svchost.exe                                       19760      

pycharm64.exe                                     18108      

fsnotifier.exe                                    23212      

conhost.exe                                       20084      

python.exe                                        34272      

conhost.exe                                       33012      

python.exe                                        30568      

python.exe                                        33396      

conhost.exe                                       9828       

powershell.exe                                    2968       

firefox.exe                                       29168      

dllhost.exe                                       20004      

MongoDBCompass.exe                                25904      

MongoDBCompass.exe                                19716      

MongoDBCompass.exe                                31168      

MongoDBCompass.exe                                10024      

MongoDBCompass.exe                                28480      

LenovoVantage-(LenovoGamingUserAddin).exe         34208      

PhoneExperienceHost.exe                           18624      

dllhost.exe                                       24080      

firefox.exe                                       27928      

lghub_updater.exe                                 30828      

svchost.exe                                       23840      

svchost.exe                                       13616      

audiodg.exe                                       8868       

firefox.exe                                       5780       

python.exe                                        35980      

python.exe                                        17900      

firefox.exe                                       22748      

svchost.exe                                       18056      

svchost.exe                                       19628      

cmd.exe                                           23016      

conhost.exe                                       18804      

WmiPrvSE.exe                                      23092      

svchost.exe                                       12856      

firefox.exe                                       12524      

Notepad.exe                                       11972      

python.exe                                        34140      

conhost.exe                                       20812      

python.exe                                        11112      

python.exe                                        28012      

conhost.exe                                       31976      

python.exe                                        6292       

smartscreen.exe                                   22128      

SearchProtocolHost.exe                            26444      

cmd.exe                                           36160      

WMIC.exe                                          764        



